"";"TITULOS";"CALIFICACION";"LINKS"
"29";"Blood Red Sky(2021)
29 ( 1,201)";"6.1";"imdb.com/title/tt6402468/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_29"
"30";"Había Una Vez en Hollywood(2019)
30 ( 13)";"7.6";"imdb.com/title/tt7131622/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_30"
"31";"The Empty Man(2020)
31 ( 192)";"6.1";"imdb.com/title/tt5867314/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_31"
"32";"Stillwater(2021)
32 (no change)";"6.1";"imdb.com/title/tt10696896/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_32"
"33";"No Sudden Move(2021)
33 ( 20)";"6.5";"imdb.com/title/tt11525644/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_33"
"34";"Free Guy(2021)
34 ( 14)";"";"imdb.com/title/tt6264654/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_34"
"35";"Nadie(2021)
35 ( 6)";"7.4";"imdb.com/title/tt7888964/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_35"
"36";"A Classic Horror Story(2021)
36 ( 8)";"5.7";"imdb.com/title/tt12877640/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_36"
"37";"Los Siete Magníficos(2016)
37 ( 90)";"6.9";"imdb.com/title/tt2404435/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_37"
"38";"Jungle Cruise(2021)
38 ( 20)";"7.2";"imdb.com/title/tt0870154/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=ea4e08e1-c8a3-47b5-ac3a-75026647c16e&pf_rd_r=68ZDS0922AN9T3T929XM&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=moviemeter&ref_=chtmvm_tt_38"
